episode,timestep,reward
353,3540,0.0
355,3560,0.0
357,3580,0.0
359,3600,0.0
361,3620,0.0
363,3640,0.0
365,3660,0.0
367,3680,0.0
369,3700,0.0
371,3720,0.0
373,3740,0.0
375,3760,0.0
377,3780,0.0
379,3800,0.0
381,3820,0.0
383,3840,0.0
385,3860,0.0
387,3880,0.0
389,3900,0.0
391,3920,0.0
393,3940,0.0
395,3960,0.0
397,3980,0.0
399,4000,0.0
401,4020,0.0
403,4040,0.0
405,4060,0.0
407,4080,0.0
409,4100,0.0
411,4120,0.0
413,4140,0.0
415,4160,0.0
417,4180,0.0
419,4200,0.0
421,4220,0.0
423,4240,0.0
425,4260,0.0
427,4280,0.0
429,4300,0.0
431,4320,0.0
433,4340,0.0
435,4360,0.0
437,4380,0.0
439,4400,0.0
441,4420,0.0
443,4440,0.0
445,4460,0.0
447,4480,0.0
449,4500,0.0
451,4520,0.0
453,4540,0.0
455,4560,0.0
457,4580,0.0
459,4600,0.0
461,4620,0.0
463,4640,0.0
465,4660,0.0
467,4680,0.0
469,4700,0.0
471,4720,0.0
473,4740,0.0
475,4760,0.0
477,4780,0.0
479,4800,0.0
481,4820,0.0
483,4840,0.0
485,4860,0.0
487,4880,0.0
489,4900,0.0
491,4920,0.0
493,4940,0.0
495,4960,0.0
497,4980,0.0
499,5000,0.0
501,5020,0.0
503,5040,0.0
505,5060,0.0
507,5080,0.0
509,5100,0.0
511,5120,0.0
513,5140,0.0
515,5160,0.0
517,5180,0.0
519,5200,0.0
521,5220,0.0
523,5240,0.0
525,5260,0.0
527,5280,0.0
529,5300,0.0
531,5320,0.0
533,5340,0.0
535,5360,0.0
537,5380,0.0
539,5400,0.0
541,5420,0.0
543,5440,0.0
545,5460,0.0
547,5480,0.0
549,5500,0.0
551,5520,0.0
553,5540,0.0
555,5560,0.0
557,5580,0.0
559,5600,0.0
561,5620,0.0
563,5640,0.0
565,5660,0.0
567,5680,0.0
569,5700,0.0
571,5720,0.0
573,5740,0.0
575,5760,0.0
577,5780,0.0
579,5800,0.0
581,5820,0.0
583,5840,0.0
585,5860,0.0
587,5880,0.0
589,5900,0.0
591,5920,0.0
593,5940,0.0
595,5960,0.0
597,5980,0.0
599,6000,0.0
601,6020,0.0
603,6040,0.0
605,6060,0.0
607,6080,0.0
609,6100,0.0
611,6120,0.0
613,6140,0.0
615,6160,0.0
617,6180,0.0
619,6200,0.0
621,6220,0.0
623,6240,0.0
625,6260,0.0
627,6280,0.0
629,6300,0.0
631,6320,0.0
633,6340,0.0
635,6360,0.0
637,6380,0.0
639,6400,0.0
641,6420,0.0
643,6440,0.0
645,6460,0.0
647,6480,0.0
649,6500,0.0
651,6520,0.0
653,6540,0.0
655,6560,0.0
657,6580,0.0
659,6600,0.0
661,6620,0.0
663,6640,0.0
665,6660,0.0
667,6680,0.0
669,6700,0.0
671,6720,0.0
673,6740,0.0
675,6760,0.0
677,6780,0.0
679,6800,0.0
681,6820,0.0
683,6840,0.0
685,6860,0.0
687,6880,0.0
689,6900,0.0
691,6920,0.0
693,6940,0.0
695,6960,0.0
697,6980,0.0
699,7000,0.0
701,7020,0.0
703,7040,0.0
705,7060,0.0
707,7080,0.0
709,7100,0.0
711,7120,0.0
713,7140,0.0
715,7160,0.0
717,7180,0.0
719,7200,0.0
721,7220,0.0
723,7240,0.0
725,7260,0.0
727,7280,0.0
729,7300,0.0
731,7320,0.0
733,7340,0.0
735,7360,0.0
737,7380,0.0
739,7400,0.0
741,7420,0.0
743,7440,0.0
745,7460,0.0
